"TIV of arms exports from China, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Afghanistan/Mujahideen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,10,10,9,9,,,,,,,,,,,,,,,,,,46
,Albania,,,8,16,16,16,51,,,,,32,49,3,4,189,79,193,298,294,247,335,150,111,142,61,10,12,9,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,2347
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,80,,,,,,,,,11,13,11,,,,,160
,Angola/FNLA,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,5,22,23,10,1,60,23,57,154,36,51,,,230,304,95,81,89,7,17,8,5,,,29,10,2,,,,,180,1499
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,1,,,,,,,,,,,,14
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,12
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0
,Cambodia,,,,,,,,,,,,,,,,,29,9,12,,,,,,,,,,38,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,93
,Cambodia/Khmer Rouge,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,2,,10,,,,,,,,,,,,,,,,,22
,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Congo,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,DRC (Zaire),,,,,,,,,,,,,,,,,,,,,,,,1,1,23,87,,30,,,6,5,,,,,20,,,,,,,,,,,,,,,,,,,,173
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,270,,416,307,606,212,161,26,26,26,26,26,26,34,26,26,,,,,,12,45,59,59,14,,2627
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,6
,France/Viet Cong,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5
,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,13
,Guinea,,,,,,,,,,,,,,,,,,,,,,,,20,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,Guinea Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,204,235,192,131,580,597,226,69,95,99,89,295,268,84,340,63,92,61,61,88,125,102,112,62,74,4345
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,646,935,830,891,973,199,23,,,,,,,,,,,,,,,,,,4939
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,9
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,23,18,19,,,,79
,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,11
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,15
,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,7,,,,,,,23
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,,,,,15,,,,,27
,Myanmar (Burma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,212,130,3,299,93,198,120,199,154,99,3,43,45,44,7,25,,1699
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,,,,,,12
,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,67
,North Korea,,,,,,,,,476,374,303,3,3,3,8,13,14,105,115,59,59,82,68,194,147,222,217,45,115,65,235,49,308,72,69,21,232,232,287,158,104,145,8,50,3,48,,,,,,,,,,,,4711
,North Vietnam,,,,,,,,,,,,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,10
,Pakistan,,,,,,,,,,,,,,,2,121,428,20,25,15,89,410,532,122,174,108,154,23,326,242,256,264,89,433,302,135,79,433,134,312,313,283,150,642,282,211,130,104,102,85,64,295,282,256,78,79,164,8748
,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,10
,Romania,,,,,,,,,,,,,,,,,,,,,,29,20,56,112,66,66,66,44,58,44,44,44,36,,,,,24,24,24,,,,,,,,,,,,,,,,,757
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,857,,,,,,,,,,,,,,,,,,,1714
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,20,,,,,,,,,,8,,,,,,,,,,58
,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,7,,,,,,,,,,,,,,,,,,,,,,,,,175
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,20,,,,,,3,49,,3,,95,20,,23,8,39,,47,18,2,14,,,10,10,10,421
,Sudan,,,,,,,,,,,,,,,,,,,6,6,116,21,74,21,,,,,7,,,102,,,,,27,54,,7,,46,6,,,,,66,,,,,,20,,,14,593
,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,4
,Tanzania,,,,,,,,,,,,,,,,,,,,,9,50,50,127,6,48,,7,7,7,,114,6,,,,,,,,,,20,,3,,,,,,,,,46,,,,500
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,134,107,64,3,114,195,,258,258,140,,,,28,,,,,11,11,1335
,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,43
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,,,,,18
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,14
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14
,Viet Nam,,,,,,,,30,,,,,,,42,23,52,12,112,72,220,357,325,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,153
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,,,,12,,,,,,,,,,,,,5,,,,19,,,,,,12,118
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,12,147,16,,,,21,,,,,,,,,,,,,,14,14,232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,8,16,19,16,51,30,476,374,303,35,52,6,56,351,607,344,573,446,740,1299,1271,696,608,561,584,231,637,597,972,706,1588,1901,2149,1411,2130,3421,2103,1037,938,1125,622,1342,1018,1019,781,460,401,300,230,499,544,553,271,223,564,