"TIV of arms exports from Norway, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,27,25,,,,70
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2
,Belgium,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,24
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,44
,Denmark,,29,,,,,,,,,,,,,4,7,7,4,,,,,,,,,,,,,,,,,,,,,,25,25,25,,,,,9,,,,,,,,,,,135
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,3,2,7
,France,,,,,,,,,,,,,,,22,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,Germany (FRG),,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
,Greece,,,,,,,,,,,,,,,,,,75,,10,,,,,,,,,,,31,32,,,,,29,,,,,,,,3,13,,21,,,,,,,,,,214
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,9,,12,,,,24
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,10,,,24,9,,46
,Peru,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,39,39,,,133
,Portugal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,South Korea,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Spain,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,12,48,,,,,,,,,,,,,,,17,,,85
,Sweden,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,93,165,134,196,72,,,7,,,,,5,13,15,6,6,,,,,,,,,,,,,727
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47,47,46,,,,,,,,,,,,,,,186
,Turkey,,,,,,,,,,,8,,,,25,4,7,7,4,,,,,,,12,12,12,,,,58,,35,,35,,32,,,,3,5,15,5,,,,,,,7,7,,,,,293
,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,3,8,,,,76
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,33,55,,,,,5,3,1,1,,,,,118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1,29,0,10,0,0,0,0,0,8,33,0,0,0,51,11,29,86,4,10,0,10,15,8,0,12,12,12,93,165,165,286,72,35,0,42,29,54,34,119,77,163,76,54,93,22,9,21,4,5,3,45,93,84,80,12,2,